product_url,ASIN_from_page_url,brand_name_long,seller_name,seller_url,seller_id_from_seller_url,seller_address,country_from_seller_address
https://www.amazon.com/Hirdou-Jogger-Traning-Fitness-Ligthtweight/dp/B08FM3X6GW/ref=sr_1_9792?dchild=1&amp;qid=1622508765&amp;s=apparel&amp;sr=1-9792,B08FM3X6GW,Brand: Hirdou,Amazon.com,,,,
https://www.amazon.com/Bridgedale-Coolmax-Layer-Liner-Socks/dp/B07DX2CHKX/ref=sr_1_10841?dchild=1&amp;qid=1622508797&amp;s=apparel&amp;sr=1-10841,B07DX2CHKX,Brand: Bridgedale,Amazon.com,,,,
https://www.amazon.com/Feisty-Fabulous-Dwight-Office-Schrute/dp/B077ZNXD9B/ref=sr_1_7214?dchild=1&amp;qid=1622508678&amp;s=apparel&amp;sr=1-7214,B077ZNXD9B,Visit the Feisty and Fabulous Store,Amazon.com,,,,
https://www.amazon.com/Logo-Infusion-Bowling-Dye-Sublimated-Jersey/dp/B08CCJQZRL/ref=sr_1_12219?dchild=1&amp;qid=1622508853&amp;s=apparel&amp;sr=1-12219,B08CCJQZRL,,Amazon.com,,,,
https://www.amazon.com/ZHPUAT-Hawaiian-Tropical-Holiday-Flamingo-Pink/dp/B08BHR2JZ7/ref=sr_1_12222?dchild=1&amp;qid=1622508853&amp;s=apparel&amp;sr=1-12222,B08BHR2JZ7,,Amazon.com,,,,
https://www.amazon.com/Mavi-Regular-Rise-Tapered-Shaded-Williamsburg/dp/B01D2XP2XG/ref=sr_1_8178?dchild=1&amp;qid=1622508710&amp;s=apparel&amp;sr=1-8178,B01D2XP2XG,Visit the Mavi Store,Amazon.com,,,,
https://www.amazon.com/Ultrathin-Breathable-Sheer-Dress-Summer/dp/B07RSQ8NN4/ref=sr_1_7224?dchild=1&amp;qid=1622508678&amp;s=apparel&amp;sr=1-7224,B07RSQ8NN4,Visit the Cityelf Store,Cityelf,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AURSF7DU7VIDL&isAmazonFulfilled=1,AURSF7DU7VIDL,Business Address:Room 223 No.5157 Lane 833Linji Road Jinshan TownShanghaiShanghai201600CN,CN
https://www.amazon.com/Moonwalk-Men%60s-Leather-Skinny-Black/dp/B013HTX6QA/ref=sr_1_9942?dchild=1&amp;qid=1622508767&amp;s=apparel&amp;sr=1-9942,B013HTX6QA,Brand: Moonwalk,Amazon.com,,,,
https://www.amazon.com/Tropi-33300M-Ceil-L-Unisex-Medical-Scrubs/dp/B01N9I2Q35/ref=sr_1_10843?dchild=1&amp;qid=1622508797&amp;s=apparel&amp;sr=1-10843,B01N9I2Q35,Brand: Tropi,Amazon.com,,,,
https://www.amazon.com/Mens-Socks-black-Running-Compression/dp/B07X2QRF94/ref=sr_1_12238?dchild=1&amp;qid=1622508853&amp;s=apparel&amp;sr=1-12238,B07X2QRF94,,Amazon.com,,,,
https://www.amazon.com/MIUMOY-Wide-Ribber-Socks-Cotton-White/dp/B087B8HMPN/ref=sr_1_12241?dchild=1&amp;qid=1622508853&amp;s=apparel&amp;sr=1-12241,B087B8HMPN,,Amazon.com,,,,
https://www.amazon.com/Qzlclub-Thrasher-Skateboard-Magazine-T-Shirt/dp/B08BXFX8PC/ref=sr_1_8189?dchild=1&amp;qid=1622508710&amp;s=apparel&amp;sr=1-8189,B08BXFX8PC,,Amazon.com,,,,
https://www.amazon.com/Meahyn-Unisex-Lightweight-Hooded-Jacket/dp/B08XJVZYC2/ref=sr_1_9946?dchild=1&amp;qid=1622508767&amp;s=apparel&amp;sr=1-9946,B08XJVZYC2,Brand: Meahyn,Amazon.com,,,,
https://www.amazon.com/DELIGHT-Fashion-Full-zip-HOODIE-CHARCOAL/dp/B073V4C4NX/ref=sr_1_10847?dchild=1&amp;qid=1622508797&amp;s=apparel&amp;sr=1-10847,B073V4C4NX,Brand: LITE DELIGHT,Amazon.com,,,,
https://www.amazon.com/Nations-Big-Relaxed-Straight-Shorts/dp/B08CD442F7/ref=sr_1_12247?dchild=1&amp;qid=1622508853&amp;s=apparel&amp;sr=1-12247,B08CD442F7,,Amazon.com,,,,
https://www.amazon.com/Zebe-Leather-Motorcycle-Lambskin-X-Large/dp/B089WK182P/ref=sr_1_11152?dchild=1&amp;qid=1622508855&amp;s=apparel&amp;sr=1-11152,B089WK182P,,Amazon.com,,,,
https://www.amazon.com/Leather-Vintage-Motorcycle-Distressed-Genuine/dp/B08LDWX3G8/ref=sr_1_11148?dchild=1&amp;qid=1622508855&amp;s=apparel&amp;sr=1-11148,B08LDWX3G8,,Amazon.com,,,,
