"ASIN","Brand","Title","Category","URL","SalesRank"
"B008133KB4","ESCO LITE","Escolite UV Flashlight Black Light, 51 LED 395 nM Ultraviolet Blacklight Detector for Dog Urine, Pet Stains and Bed Bug","Tools & Home Improvement,Safety & Security,Flashlights,Handheld Flashlights","https://www.amazon.com/Escolite-Flashlight-Ultraviolet-Blacklight-Detector/dp/B008133KB4/ref=sr_1_101?dchild=1&amp;qid=1623799881&amp;s=sporting-goods&amp;sr=1-101","188"
"B01N6T0XHP","Curad","Curad Assorted Bandages Variety Pack 300 Pieces, Including Antibacterial, Heavy Duty, Fabric, and Waterproof Bandages","Health & Household,Health Care,First Aid,Bandages & Bandaging Supplies,Adhesive Bandages","https://www.amazon.com/Curad-Assorted-Including-Antibacterial-Waterproof/dp/B01N6T0XHP/ref=sr_1_102?dchild=1&amp;qid=1623799881&amp;s=sporting-goods&amp;sr=1-102","1459"
"B0000CA8WW","Rawlings","Rawlings OLB3BAG12 Official League Recreational Use Baseballs, Bag of 12","Sports & Outdoors,Fan Shop,Sports Equipment,Baseball Equipment,Baseballs","https://www.amazon.com/Rawlings-Official-Recreational-Baseballs-OLB3BAG12/dp/B0000CA8WW/ref=sr_1_103?dchild=1&amp;qid=1623799881&amp;s=sporting-goods&amp;sr=1-103","402"
"B00196P2O8","Tourna","Tourna Mesh Carry Bag of 18 Tennis Balls","Sports & Outdoors,Sports & Fitness,Tennis & Racquet Sports,Tennis,Balls","https://www.amazon.com/Tourna-Mesh-Carry-Tennis-Balls/dp/B00196P2O8/ref=sr_1_104?dchild=1&amp;qid=1623799881&amp;s=sporting-goods&amp;sr=1-104","338"
"B00NQQTZCO","Monopoly","Monopoly Deal Card Game (Amazon Exclusive)","Toys & Games,Games & Accessories,Card Games,Standard Playing Card Decks","https://www.amazon.com/Hasbro-B0965-Monopoly-Deal-Card/dp/B00NQQTZCO/ref=sr_1_105?dchild=1&amp;qid=1623799881&amp;s=sporting-goods&amp;sr=1-105","95"
"B073F1TBMR","Sukeen","[4 Pack] Cooling Towel (40""x12""), Ice Towel, Soft Breathable Chilly Towel, Microfiber Towel for Yoga, Sport, Running, Gym, Workout,Camping, Fitness, Workout & More Activities - Kuen","Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Personal Care,Towels","https://www.amazon.com/Cooling-Breathable-Microfiber-Running-Activities/dp/B073F1TBMR/ref=sr_1_106?dchild=1&amp;qid=1623799881&amp;s=sporting-goods&amp;sr=1-106","87"
"B07F9KMY2T","SUPRUS","SUPRUS Lighter Electric Lighter Candle Lighter USB Lighter with Upgraded LED Battery Display Safety Switch Rechargeable Flameless Plasma Windproof Pocket Size for Candle Cooking BBQs Fireworks","Health & Household,Household Supplies,Lighters & Matches,Lighters","https://www.amazon.com/SUPRUS-Electric-Rechargeable-Flameless-Windproof/dp/B07F9KMY2T/ref=sr_1_107?dchild=1&amp;qid=1623799881&amp;s=sporting-goods&amp;sr=1-107","1391"
"B00A7EXF4C","Intex","Intex Explorer K2 Kayak, 2-Person Inflatable Kayak Set with Aluminum Oars and High Output Air Pump","Sports & Outdoors,Outdoor Recreation,Water Sports,Kayaking,Kayaks,Touring Kayaks","https://www.amazon.com/Intex-Explorer-2-Person-Inflatable-Aluminum/dp/B00A7EXF4C/ref=sr_1_108?dchild=1&amp;qid=1623799881&amp;s=sporting-goods&amp;sr=1-108","471"
"B06XH9GB75","Cooler Shock","Cooler Shock Reusable Ice Pack - Long Lasting Cold Freezer Packs for Coolers & Lunch Bags - Compress for Knee Injuries, Back Pain Relief, Post-Surgery Accessories","Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camp Kitchen,Cooler Accessories","https://www.amazon.com/Cooler-Shock-Zero°F-Freeze-Packs/dp/B06XH9GB75/ref=sr_1_109?dchild=1&amp;qid=1623799881&amp;s=sporting-goods&amp;sr=1-109","111"
"B087R3B1YB","FITFORT","FITFORT Jump Rope, Tangle-Free Rapid Speed Jumping Rope Cable with Ball Bearings for Women","Sports & Outdoors,Sports & Fitness,Exercise & Fitness,Accessories,Jump Ropes","https://www.amazon.com/FITFORT-Tangle-Free-Bearings-Adjustable-Exercise/dp/B087R3B1YB/ref=sr_1_110?dchild=1&amp;qid=1623799881&amp;s=sporting-goods&amp;sr=1-110","160"
"B07F9W9BHX","Bodyprox","Knee Brace with Side Stabilizers & Patella Gel Pads for Knee Support …","Health & Household,Medical Supplies & Equipment,Braces, Splints & Supports,Leg & Foot Supports,Knee Braces","https://www.amazon.com/Knee-Brace-Stabilizers-Patella-Support/dp/B07F9W9BHX/ref=sr_1_111?dchild=1&amp;qid=1623799881&amp;s=sporting-goods&amp;sr=1-111","1322"
"B001RR08O8","KT Tape","KT Tape Original Cotton Elastic Kinesiology Therapeutic Athletic Tape, 20 Pack, 10” Cut Strips","Health & Household,Medical Supplies & Equipment,Braces, Splints & Supports,Kinesiology Recovery Tapes","https://www.amazon.com/KT-Tape-Original-Kinesiology-Therapeutic/dp/B001RR08O8/ref=sr_1_115?dchild=1&amp;qid=1623799881&amp;s=sporting-goods&amp;sr=1-115","336"
"B000XBCURW","303 Products","303 Marine UV Protectant Spray for Vinyl, Plastic, Rubber, Fiberglass, Leather And More – Dust and Dirt Repellant - Non-Toxic, Matte Finish, 32 fl. oz. (30306)","Sports & Outdoors,Sports & Fitness,Boating & Sailing,Boating,Maintenance Supplies,Cleaners","https://www.amazon.com/303-30306-Aerospace-Protectant-Furniture/dp/B000XBCURW/ref=sr_1_116?dchild=1&amp;qid=1623799881&amp;s=sporting-goods&amp;sr=1-116","242"
